model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 Polo,2019,12790,Manual,7393,Petrol,145,48.7,1.0,VW,38296
 X3,2015,12000,Automatic,126700,Diesel,150,54.3,2.0,BMW,33993
 X5,2015,23421,Automatic,31526,Diesel,200,47.9,3.0,BMW,8233
 5 Series,2019,28380,Semi-Auto,6,Diesel,145,65.7,2.0,BMW,6097
 B Class,2019,21290,Automatic,10651,Petrol,145,45.6,1.3,Mercedes,36200
 Q7,2012,18299,Automatic,57080,Diesel,300,38.2,3.0,Audi,22296
 2 Series,2019,23450,Automatic,6127,Diesel,145,49.6,2.0,BMW,13958
 3 Series,2015,11249,Manual,49520,Diesel,30,67.3,2.0,BMW,5516
 C Class,2019,33599,Semi-Auto,2679,Diesel,145,57.7,2.0,Mercedes,39912
 TT,2019,48990,Semi-Auto,2000,Petrol,145,31.0,2.5,Audi,6858
 Tiguan,2018,22741,Semi-Auto,17281,Diesel,150,57.6,2.0,VW,33193
 GLA Class,2016,17890,Automatic,23337,Diesel,125,56.5,2.1,Mercedes,7895
 Q2,2019,29950,Automatic,6042,Petrol,145,33.2,2.0,Audi,2004
 E Class,2018,26490,Semi-Auto,20316,Diesel,145,70.6,2.0,Mercedes,5377
 Tiguan,2017,18000,Manual,20400,Petrol,150,48.7,1.4,VW,39482
 Up,2017,6995,Manual,25000,Petrol,20,64.2,1.0,VW,255
 X5,2009,13190,Automatic,68000,Diesel,325,34.0,3.0,BMW,22874
 T-Cross,2019,17990,Manual,4834,Petrol,150,47.9,1.0,VW,2114
 E Class,2019,26099,Semi-Auto,9401,Diesel,145,72.4,2.0,Mercedes,23301
 Q5,2019,31998,Semi-Auto,10,Petrol,145,33.2,2.0,Audi,16214
 X3,2020,36000,Semi-Auto,3116,Diesel,145,54.3,2.0,BMW,34923
 T-Roc,2018,18990,Manual,13375,Diesel,145,50.4,1.6,VW,28743
 Scirocco,2016,13340,Manual,39081,Diesel,20,55.4,2.0,VW,39168
 Q2,2019,23998,Semi-Auto,22,Diesel,145,47.9,2.0,Audi,35459
 Tiguan,2018,23391,Manual,9889,Petrol,145,40.4,1.4,VW,1436
 Golf,2014,9491,Manual,116000,Diesel,20,67.3,2.0,VW,41848
 A3,2017,19990,Manual,31191,Diesel,145,58.9,2.0,Audi,38392
 Polo,2019,13500,Manual,5000,Petrol,145,48.7,1.0,VW,11359
 Golf,2019,19989,Manual,4745,Petrol,145,50.4,1.5,VW,10945
 Q7,2020,84999,Semi-Auto,2348,Diesel,150,29.4,4.0,Audi,28034
 A5,2016,15995,Automatic,41100,Diesel,125,58.9,2.0,Audi,17242
 Touran,2019,25490,Semi-Auto,5985,Petrol,145,38.7,1.5,VW,4818
 E Class,2016,18991,Semi-Auto,27834,Diesel,30,65.7,2.0,Mercedes,9969
 2 Series,2018,21512,Semi-Auto,9005,Diesel,145,65.7,2.0,BMW,14738
 1 Series,2016,11899,Manual,40911,Diesel,20,70.6,1.5,BMW,37129
 E Class,2014,11999,Automatic,60514,Diesel,145,52.3,2.1,Mercedes,33235
 Golf,2013,6990,Manual,80000,Diesel,0,68.9,1.6,VW,26348
 A Class,2016,13200,Manual,50521,Diesel,20,68.9,1.5,Mercedes,18582
 Golf,2017,16250,Semi-Auto,15000,Petrol,150,55.4,1.5,VW,41417
 A4,2015,8795,Automatic,104550,Diesel,145,56.5,2.0,Audi,29028
 A3,2017,23475,Semi-Auto,27524,Petrol,160,43.5,2.0,Audi,7565
 A Class,2016,13699,Automatic,31817,Diesel,0,76.4,1.5,Mercedes,46387
 T-Cross,2019,17654,Manual,1500,Petrol,145,48.7,1.0,VW,5382
 2 Series,2020,23789,Semi-Auto,1500,Petrol,150,50.4,1.5,BMW,33066
 C Class,2017,16991,Semi-Auto,29907,Diesel,145,64.2,2.1,Mercedes,39307
 X3,2012,11753,Automatic,73701,Diesel,160,50.4,2.0,BMW,7277
 A Class,2016,18490,Semi-Auto,29474,Petrol,165,45.6,2.0,Mercedes,21732
 X1,2017,19500,Semi-Auto,20935,Diesel,125,60.1,2.0,BMW,38732
 C Class,2017,19980,Semi-Auto,29198,Diesel,30,64.2,2.1,Mercedes,11316
 3 Series,2019,28000,Automatic,6148,Diesel,145,52.3,2.0,BMW,42
 Up,2017,7995,Manual,9256,Petrol,150,68.9,1.0,VW,989
 Touran,2017,17498,Manual,18061,Petrol,125,52.3,1.2,VW,7353
 A4,2017,17000,Manual,35664,Diesel,20,70.6,2.0,Audi,10270
 C Class,2019,25549,Semi-Auto,15074,Diesel,145,61.4,2.0,Mercedes,25544
 Q3,2017,20298,Semi-Auto,12122,Diesel,150,55.4,2.0,Audi,9897
 C Class,2019,26780,Semi-Auto,10340,Diesel,145,61.4,2.0,Mercedes,41746
 Polo,2016,10291,Manual,11922,Petrol,20,60.1,1.2,VW,15552
 Touareg,2016,21698,Semi-Auto,38414,Diesel,235,42.8,3.0,VW,18889
 3 Series,2019,26498,Semi-Auto,21165,Diesel,145,48.7,2.0,BMW,12418
 3 Series,2019,32790,Automatic,3750,Diesel,145,52.3,2.0,BMW,25433
 Polo,2016,9990,Manual,14806,Petrol,20,60.1,1.2,VW,23252
 X5,2019,43750,Semi-Auto,10829,Diesel,145,37.7,3.0,BMW,4452
 A4,2019,25990,Manual,4598,Petrol,145,38.2,2.0,Audi,32385
 Golf,2015,11950,Manual,11915,Diesel,20,68.9,2.0,VW,19391
 4 Series,2016,17580,Semi-Auto,29387,Petrol,165,44.8,2.0,BMW,3383
 3 Series,2013,12298,Semi-Auto,73845,Diesel,145,54.3,3.0,BMW,43385
 Tiguan,2019,25890,Automatic,6000,Diesel,145,40.4,2.0,VW,7999
 3 Series,2017,13995,Manual,25345,Petrol,150,48.7,2.0,BMW,38232
 3 Series,2020,29990,Semi-Auto,12,Petrol,150,41.5,2.0,BMW,7677
 Q2,2020,27591,Semi-Auto,4455,Diesel,150,44.8,2.0,Audi,45567
 T-Roc,2020,34999,Automatic,2952,Petrol,150,32.5,2.0,VW,25177
 Golf,2017,25999,Semi-Auto,20577,Petrol,145,39.8,2.0,VW,5111
 Q5,2016,26390,Semi-Auto,37647,Diesel,240,42.8,3.0,Audi,12650
 3 Series,2019,30690,Automatic,4404,Diesel,145,50.4,2.0,BMW,30296
 Q7,2014,21999,Automatic,44985,Diesel,300,38.2,3.0,Audi,24520
 Q3,2019,28900,Automatic,16363,Petrol,150,31.7,2.0,Audi,37408
 Golf,2019,29000,Semi-Auto,100,Petrol,150,32.8,2.0,VW,33021
 Q2,2019,21600,Manual,4157,Diesel,145,49.6,1.6,Audi,34313
 C Class,2019,27199,Automatic,754,Petrol,145,46.3,1.5,Mercedes,9899
 T-Cross,2020,20999,Manual,584,Petrol,145,47.9,1.0,VW,12998
 CLS Class,2019,42849,Semi-Auto,15674,Diesel,145,47.9,2.9,Mercedes,12577
 CLS Class,2019,39998,Semi-Auto,926,Diesel,145,45.6,2.0,Mercedes,24145
 Golf,2019,18950,Semi-Auto,4392,Diesel,150,52.3,2.0,VW,34368
 A Class,2016,13995,Semi-Auto,66000,Diesel,20,68.9,2.1,Mercedes,27947
 E Class,2019,34980,Semi-Auto,6306,Diesel,145,70.6,2.0,Mercedes,44981
 A Class,2017,16124,Semi-Auto,25141,Diesel,20,74.3,1.5,Mercedes,32340
 GLE Class,2020,50495,Semi-Auto,2200,Diesel,145,36.7,2.0,Mercedes,32497
 C Class,2017,17490,Semi-Auto,35576,Diesel,145,64.2,2.1,Mercedes,13579
 2 Series,2019,24990,Semi-Auto,4155,Diesel,145,65.7,2.0,BMW,19592
 C Class,2016,16475,Manual,40569,Diesel,20,68.9,2.1,Mercedes,36395
 E Class,2017,19990,Automatic,32000,Diesel,30,65.7,2.0,Mercedes,12016
 C Class,2019,25549,Semi-Auto,14874,Diesel,145,61.4,2.0,Mercedes,23131
 Tiguan,2018,19995,Manual,3283,Petrol,150,46.3,1.4,VW,38929
 Scirocco,2016,13498,Semi-Auto,59257,Diesel,30,57.6,2.0,VW,15238
 A3,2016,17495,Manual,19950,Petrol,30,57.6,1.4,Audi,7560
 1 Series,2015,16450,Semi-Auto,25499,Diesel,125,60.1,2.0,BMW,15816
 X2,2019,27669,Semi-Auto,13440,Diesel,145,58.9,2.0,BMW,15970
 C Class,2019,26056,Semi-Auto,10096,Petrol,145,46.3,1.5,Mercedes,45878
 5 Series,2019,37950,Automatic,3141,Petrol,145,29.1,3.0,BMW,39995
 A1,2015,12500,Manual,42498,Petrol,30,55.4,1.4,Audi,32341
 Golf,2019,12950,Manual,15173,Diesel,150,57.7,1.6,VW,39265
 Touran,2017,19490,Manual,13058,Petrol,150,49.6,1.4,VW,1421
 Golf,2019,23495,Manual,6910,Petrol,150,37.7,2.0,VW,46393
 Up,2015,7000,Manual,41065,Petrol,20,61.4,1.0,VW,7487
 3 Series,2017,14430,Manual,26818,Petrol,145,49.6,1.5,BMW,13965
 Golf,2018,13790,Manual,17330,Diesel,150,57.7,1.6,VW,34068
 Golf,2018,20800,Semi-Auto,16345,Petrol,150,44.1,2.0,VW,9978
 A3,2015,11211,Manual,26200,Diesel,20,68.9,2.0,Audi,25045
 Tiguan,2019,22446,Manual,11007,Diesel,145,47.9,2.0,VW,44149
 B Class,2014,12999,Semi-Auto,22261,Petrol,200,42.2,2.0,Mercedes,10373
 C Class,2019,20299,Semi-Auto,14354,Petrol,145,46.3,1.5,Mercedes,8616
 E Class,2019,41900,Semi-Auto,12335,Diesel,150,38.2,3.0,Mercedes,13774
 1 Series,2017,19450,Automatic,45000,Petrol,150,39.8,3.0,BMW,24939
 Polo,2019,13499,Manual,13033,Diesel,145,57.7,1.6,VW,44554
 Polo,2017,10995,Manual,19000,Petrol,20,60.1,1.2,VW,26538
 Tiguan,2019,30995,Manual,1959,Diesel,150,47.9,2.0,VW,29364
 Q3,2019,26990,Manual,3838,Petrol,145,40.9,1.5,Audi,33420
 Up,2014,5498,Manual,39472,Petrol,20,60.1,1.0,VW,1639
 4 Series,2016,15499,Automatic,78792,Diesel,30,65.7,2.0,BMW,44001
 A1,2015,12491,Manual,33527,Petrol,30,55.4,1.4,Audi,28010
 Polo,2017,11990,Semi-Auto,29830,Petrol,150,60.1,1.2,VW,32587
 Golf,2018,13450,Manual,19395,Petrol,145,58.9,1.0,VW,41392
 Q3,2017,15600,Manual,36714,Petrol,125,51.4,1.4,Audi,46541
 Golf,2017,13750,Manual,20500,Diesel,145,67.3,1.6,VW,8449
 X5,2015,24250,Automatic,42966,Diesel,200,47.1,3.0,BMW,19552
 5 Series,2019,26800,Semi-Auto,3979,Diesel,145,65.7,2.0,BMW,18176
 1 Series,2013,10391,Manual,31144,Petrol,150,50.4,1.6,BMW,27706
 A5,2019,28990,Automatic,9200,Petrol,145,37.7,2.0,Audi,23995
 Q2,2017,15995,Semi-Auto,54305,Petrol,30,54.3,1.4,Audi,7163
 Touran,2011,7995,Semi-Auto,63700,Diesel,165,49.6,2.0,VW,42617
 4 Series,2019,39891,Automatic,5806,Diesel,145,51.4,3.0,BMW,35588
 A5,2018,23950,Manual,27601,Petrol,145,48.7,2.0,Audi,35406
 3 Series,2016,16212,Automatic,31499,Diesel,145,54.3,3.0,BMW,14537
 Polo,2017,10750,Manual,13040,Petrol,20,60.1,1.2,VW,23747
 C Class,2020,34500,Semi-Auto,100,Diesel,145,48.7,2.0,Mercedes,6134
 Q3,2020,33990,Automatic,1500,Diesel,145,47.1,2.0,Audi,41174
 Golf,2016,15498,Semi-Auto,46124,Diesel,30,62.8,2.0,VW,36683
 Up,2020,11250,Manual,1000,Petrol,145,54.3,1.0,VW,20015
 C Class,2017,20490,Semi-Auto,50232,Diesel,20,67.3,2.1,Mercedes,42703
 Golf,2017,11995,Semi-Auto,54102,Petrol,150,55.4,1.4,VW,5566
 C Class,2019,31890,Automatic,2850,Diesel,145,46.3,2.0,Mercedes,20107
 3 Series,2015,13000,Automatic,45064,Diesel,20,74.3,2.0,BMW,38412
 A5,2016,24698,Semi-Auto,7355,Petrol,260,35.8,3.0,Audi,31093
 GLC Class,2016,25998,Semi-Auto,40220,Diesel,145,56.5,2.1,Mercedes,30922
 Tiguan,2017,19200,Manual,18002,Diesel,150,58.9,0.0,VW,4530
 A6,2017,19940,Automatic,33856,Diesel,145,56.5,2.0,Audi,11511
 Touran,2017,17690,Semi-Auto,31541,Diesel,125,60.1,2.0,VW,20941
 A3,2016,9699,Manual,84049,Diesel,0,74.3,1.6,Audi,4502
 Q2,2019,27120,Manual,6000,Petrol,145,43.5,1.5,Audi,43983
 1 Series,2018,15990,Manual,13856,Petrol,145,53.3,1.5,BMW,38517
 B Class,2019,24899,Semi-Auto,3752,Diesel,145,55.4,2.0,Mercedes,3313
 B Class,2019,22991,Manual,3003,Petrol,145,44.8,1.3,Mercedes,8123
 5 Series,2019,26875,Automatic,9029,Hybrid,135,156.9,2.0,BMW,41440
 Polo,2020,14495,Manual,2483,Petrol,145,47.9,1.0,VW,11633
 4 Series,2019,29641,Semi-Auto,6650,Petrol,145,48.7,2.0,BMW,5161
 A Class,2017,28890,Automatic,17632,Petrol,145,40.9,2.0,Mercedes,604
 GLA Class,2019,23149,Semi-Auto,13359,Diesel,150,67.3,2.1,Mercedes,15399
 Golf,2019,13650,Manual,15036,Diesel,150,57.7,1.6,VW,2919
 GLA Class,2020,26400,Semi-Auto,266,Petrol,145,37.2,1.6,Mercedes,24234
 GLA Class,2019,24538,Automatic,2311,Diesel,145,64.2,2.1,Mercedes,29530
 1 Series,2019,26720,Manual,3710,Diesel,145,53.3,2.0,BMW,9757
 5 Series,2018,22600,Automatic,23195,Diesel,145,65.7,2.0,BMW,45893
 5 Series,2014,12490,Automatic,68000,Diesel,125,57.6,2.0,BMW,1970
 A3,2017,12995,Manual,23820,Petrol,145,60.1,1.0,Audi,36579
 Polo,2017,11000,Manual,14808,Petrol,150,60.1,1.2,VW,38603
 CL Class,2019,26899,Semi-Auto,10315,Diesel,145,51.4,2.2,Mercedes,10398
 Up,2017,6998,Manual,22981,Petrol,20,62.8,1.0,VW,14842
 GLA Class,2019,24799,Semi-Auto,8045,Diesel,145,64.2,2.1,Mercedes,14522
 C Class,2008,5780,Automatic,67979,Petrol,260,34.9,1.8,Mercedes,12454
 A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3,Mercedes,37166
 C Class,2018,21991,Automatic,12767,Diesel,150,61.4,2.1,Mercedes,23174
 A3,2018,15590,Manual,19686,Diesel,145,68.9,1.6,Audi,14059
 3 Series,2018,19988,Manual,10877,Petrol,150,47.9,2.0,BMW,6960
 GLC Class,2019,37980,Semi-Auto,4145,Diesel,145,40.9,2.0,Mercedes,37209
 B Class,2019,26099,Automatic,5034,Diesel,145,55.4,2.0,Mercedes,1124
 3 Series,2015,14450,Automatic,47288,Diesel,30,62.8,2.0,BMW,20111
 C Class,2018,17900,Automatic,28446,Diesel,145,61.4,2.1,Mercedes,36978
 Up,2016,6495,Manual,12600,Petrol,20,62.8,1.0,VW,40402
 C Class,2019,24595,Semi-Auto,15274,Diesel,145,61.4,2.0,Mercedes,11461
 Q5,2015,18499,Manual,33233,Diesel,200,47.9,2.0,Audi,21794
 Q3,2019,27001,Semi-Auto,1980,Diesel,145,48.7,2.0,Audi,29442
 A Class,2020,138439,Semi-Auto,1000,Petrol,145,22.1,4.0,Mercedes,19165
 A4,2015,13351,Manual,39652,Diesel,0,74.3,2.0,Audi,43339
 Tiguan,2019,25499,Manual,2917,Diesel,145,47.9,2.0,VW,46109
 A Class,2019,22480,Semi-Auto,16,Petrol,145,53.3,1.3,Mercedes,15496
 B Class,2020,33298,Automatic,20,Diesel,145,55.4,2.0,Mercedes,11672
 3 Series,2017,12300,Manual,40982,Diesel,145,67.3,2.0,BMW,34967
 Tiguan,2018,20290,Manual,5200,Petrol,150,46.3,1.4,VW,5027
 A4,2017,18000,Semi-Auto,35712,Petrol,145,53.3,2.0,Audi,5075
 E Class,2017,18600,Automatic,40337,Diesel,145,72.4,2.0,Mercedes,44039
 Polo,2014,7850,Manual,27111,Petrol,125,51.4,1.2,VW,42720
 Polo,2017,9790,Manual,35662,Petrol,145,60.1,1.2,VW,40371
 3 Series,2017,20998,Semi-Auto,14997,Diesel,145,51.4,3.0,BMW,35987
 Golf,2016,12991,Manual,10124,Petrol,30,53.3,1.4,VW,25095
 Tiguan,2019,31726,Semi-Auto,6421,Diesel,145,35.3,2.0,VW,25978
 X5,2015,22950,Automatic,80000,Diesel,200,47.1,3.0,BMW,17453
 A4,2017,14315,Manual,44156,Diesel,20,70.6,2.0,Audi,25844
 A5,2017,29082,Automatic,16495,Petrol,145,36.7,3.0,Audi,25765
 A5,2019,28500,Manual,1096,Petrol,145,37.2,2.0,Audi,15670
 Q2,2017,14495,Manual,23043,Petrol,150,55.4,1.0,Audi,10513
 A1,2019,20000,Automatic,4504,Petrol,145,47.1,1.0,Audi,27311
 GLC Class,2020,42495,Semi-Auto,3750,Petrol,145,31.7,2.0,Mercedes,26214
 X3,2018,30850,Automatic,6293,Diesel,145,56.5,2.0,BMW,30690
 4 Series,2018,20998,Semi-Auto,18392,Diesel,150,65.7,2.0,BMW,21254
 A Class,2019,24682,Semi-Auto,3899,Petrol,145,53.3,1.3,Mercedes,19151
 E Class,2019,25199,Semi-Auto,9900,Diesel,145,72.4,2.0,Mercedes,46709
 A Class,2019,21799,Manual,3253,Petrol,145,28.5,1.3,Mercedes,30554
 A6,2016,16990,Manual,35421,Diesel,30,64.2,2.0,Audi,7656
 3 Series,2019,26480,Semi-Auto,4117,Petrol,145,47.9,2.0,BMW,40433
 Polo,2017,9900,Manual,24000,Petrol,150,60.1,1.2,VW,41254
 3 Series,2015,13995,Semi-Auto,37798,Diesel,30,64.2,2.0,BMW,45848
 3 Series,2017,15350,Automatic,40244,Diesel,30,64.2,2.0,BMW,17516
 A1,2019,22950,Semi-Auto,3135,Petrol,150,44.8,1.5,Audi,1078
 Golf,2011,7750,Manual,88600,Diesel,150,53.3,2.0,VW,24263
 X2,2020,34990,Semi-Auto,10,Petrol,150,34.0,2.0,BMW,22015
 A3,2016,13995,Semi-Auto,30352,Petrol,30,58.9,1.4,Audi,37458
 5 Series,2019,29980,Semi-Auto,1500,Petrol,145,50.4,2.0,BMW,4437
 Passat,2016,15298,Manual,28450,Diesel,20,67.3,2.0,VW,8324
 Q3,2018,24990,Semi-Auto,10981,Petrol,145,45.6,1.4,Audi,7330
 GLA Class,2015,16199,Manual,15546,Diesel,20,64.2,2.1,Mercedes,40386
 CLS Class,2015,16590,Semi-Auto,44192,Diesel,125,56.5,2.1,Mercedes,45138
 B Class,2017,13980,Manual,20034,Diesel,145,68.9,1.5,Mercedes,20
 A1,2017,12250,Manual,26517,Diesel,0,76.3,1.6,Audi,32426
 1 Series,2016,14499,Manual,17467,Diesel,30,62.8,2.0,BMW,34862
 A Class,2017,15500,Automatic,19029,Petrol,145,53.3,1.6,Mercedes,7149
 Q5,2019,45990,Automatic,569,Diesel,145,36.2,2.0,Audi,39096
 T-Roc,2018,19999,Manual,6108,Petrol,145,53.3,1.5,VW,20766
 Golf,2020,21399,Semi-Auto,2000,Diesel,145,53.3,2.0,VW,36869
 Tiguan,2016,16995,Semi-Auto,43854,Diesel,125,57.6,2.0,VW,25131
 A3,2019,26059,Automatic,6000,Petrol,145,43.5,1.5,Audi,8360
 X1,2017,19721,Semi-Auto,18800,Diesel,125,60.1,2.0,BMW,8847
 Polo,2017,12300,Manual,29774,Petrol,150,47.0,1.8,VW,28873
 C Class,2019,33299,Automatic,2286,Petrol,145,44.1,2.0,Mercedes,2007
 E Class,2019,24440,Automatic,16313,Diesel,150,72.4,2.0,Mercedes,36209
 Golf,2019,21891,Automatic,50,Petrol,145,45.6,1.5,VW,40708
 Q7,2020,59750,Automatic,6500,Diesel,145,33.2,3.0,Audi,23563
 2 Series,2016,12299,Manual,39613,Diesel,30,65.7,2.0,BMW,38088
 E Class,2020,56980,Semi-Auto,3999,Petrol,145,32.1,3.0,Mercedes,32441
 1 Series,2016,14881,Manual,42452,Diesel,30,62.8,2.0,BMW,31391
 A Class,2016,16000,Manual,19596,Diesel,20,68.9,1.5,Mercedes,41584
 Polo,2016,8150,Manual,26861,Petrol,20,60.1,1.0,VW,45065
 Golf,2019,27295,Semi-Auto,6241,Diesel,145,52.3,2.0,VW,22032
 3 Series,2017,20499,Automatic,14500,Hybrid,0,134.5,2.0,BMW,24990
 Tiguan,2018,27900,Semi-Auto,14500,Diesel,145,40.4,2.0,VW,24779
 T-Roc,2019,18990,Manual,4339,Petrol,145,44.1,1.0,VW,30240
 Golf,2017,12600,Semi-Auto,33698,Diesel,20,68.9,1.6,VW,5519
 5 Series,2019,29999,Semi-Auto,10373,Diesel,150,65.7,2.0,BMW,44859
 T-Cross,2019,19391,Automatic,2169,Petrol,145,45.6,1.0,VW,6601
 B Class,2019,21998,Semi-Auto,7214,Diesel,145,55.4,2.0,Mercedes,29781
 Golf,2017,12995,Manual,26039,Petrol,30,53.3,1.4,VW,27952
 A6,2018,23500,Semi-Auto,12000,Petrol,150,47.9,1.8,Audi,34632
 C Class,2017,25490,Semi-Auto,9714,Diesel,30,65.7,2.1,Mercedes,30307
 A6,2016,17397,Manual,36611,Diesel,30,61.4,2.0,Audi,44119
 C Class,2016,16198,Manual,41974,Diesel,20,68.9,2.1,Mercedes,761
 5 Series,2012,9990,Automatic,48417,Diesel,125,60.1,2.0,BMW,17393
 3 Series,2013,9295,Manual,55125,Diesel,30,62.8,2.0,BMW,2810
 Tiguan,2015,15700,Semi-Auto,27392,Diesel,165,49.6,2.0,VW,26229
 4 Series,2016,15499,Manual,32157,Petrol,200,42.8,2.0,BMW,38222
 A4,2016,19498,Semi-Auto,16922,Diesel,30,65.7,2.0,Audi,7390
 1 Series,2017,12750,Automatic,91563,Diesel,125,60.1,2.0,BMW,33911
 C Class,2018,19995,Semi-Auto,43288,Diesel,150,60.1,2.1,Mercedes,11229
 3 Series,2019,24775,Manual,3758,Diesel,145,64.2,2.0,BMW,32884
 GLA Class,2017,17880,Semi-Auto,20019,Diesel,125,56.6,2.1,Mercedes,7323
 Q5,2014,18990,Automatic,72562,Diesel,260,41.5,3.0,Audi,29222
 Q2,2018,17599,Manual,7020,Diesel,150,64.2,1.6,Audi,30917
 B Class,2019,19790,Semi-Auto,14554,Petrol,145,45.6,1.3,Mercedes,28762
 Q5,2019,30995,Semi-Auto,4750,Diesel,145,39.2,2.0,Audi,38408
 X3,2013,13100,Automatic,64455,Diesel,160,50.4,2.0,BMW,22552
 X2,2019,24352,Semi-Auto,3011,Petrol,145,38.7,2.0,BMW,14671
 Golf,2015,10480,Semi-Auto,26314,Diesel,20,67.3,1.6,VW,7489
 Sharan,2019,18899,Automatic,13524,Diesel,145,42.2,2.0,VW,26966
 Arteon,2019,25990,Semi-Auto,18000,Petrol,145,47.1,2.0,VW,38495
 2 Series,2019,21980,Manual,5587,Petrol,145,52.3,1.5,BMW,5523
 Polo,2018,13490,Semi-Auto,17207,Petrol,150,61.4,1.0,VW,29059
 A6,2019,30886,Semi-Auto,2596,Diesel,145,47.9,2.0,Audi,11313
 Golf,2019,24850,Semi-Auto,5000,Petrol,145,44.1,1.5,VW,15884
 1 Series,2017,15391,Semi-Auto,25131,Petrol,145,55.5,1.5,BMW,46268
 A4,2019,19496,Manual,21275,Petrol,145,39.2,2.0,Audi,39369
 Polo,2017,9790,Manual,25501,Petrol,150,60.1,1.0,VW,40881
 C Class,2016,14498,Manual,21945,Petrol,125,53.3,2.0,Mercedes,10771
 A Class,2016,14700,Manual,28732,Diesel,20,68.9,1.5,Mercedes,7698
 Q5,2019,36000,Automatic,8434,Diesel,150,38.2,2.0,Audi,33023
 X3,2011,9999,Automatic,72500,Diesel,165,50.4,2.0,BMW,17261
 E Class,2009,6999,Automatic,114000,Diesel,235,44.1,2.1,Mercedes,31960
 A1,2015,12990,Manual,21000,Petrol,30,55.4,1.4,Audi,29320
 B Class,2019,23980,Semi-Auto,169,Diesel,145,55.4,2.0,Mercedes,20405
 GLC Class,2019,33190,Automatic,7163,Diesel,145,44.8,2.0,Mercedes,18743
 Q3,2019,25390,Manual,792,Petrol,145,40.9,1.5,Audi,16102
 GLC Class,2019,43199,Automatic,12704,Diesel,145,40.4,2.0,Mercedes,15342
 Polo,2016,10491,Manual,25082,Petrol,20,60.1,1.2,VW,43188
 3 Series,2019,31450,Semi-Auto,3965,Petrol,145,40.9,2.0,BMW,1285
 1 Series,2017,15998,Semi-Auto,32317,Diesel,30,65.7,2.0,BMW,10078
 Golf,2019,21500,Manual,9884,Diesel,145,62.8,2.0,VW,32690
 2 Series,2019,19870,Manual,123,Petrol,145,42.8,1.5,BMW,19302
 A4,2015,13995,Manual,55036,Diesel,125,58.9,2.0,Audi,12967
 A Class,2017,15691,Manual,20875,Diesel,145,65.7,2.1,Mercedes,32691
 Golf SV,2019,19490,Semi-Auto,3939,Petrol,145,45.6,1.5,VW,18917
 1 Series,2019,16695,Manual,4160,Petrol,145,53.3,1.5,BMW,36282
 Q5,2019,35500,Semi-Auto,9280,Diesel,150,38.2,2.0,Audi,18086
 E Class,2016,15499,Automatic,48031,Diesel,125,56.5,2.1,Mercedes,16830
 B Class,2019,23980,Semi-Auto,2154,Diesel,145,55.4,2.0,Mercedes,30439
 A5,2020,32495,Semi-Auto,2000,Petrol,145,39.2,2.0,Audi,11164
 2 Series,2020,22980,Semi-Auto,1550,Petrol,145,38.7,1.5,BMW,4000
 1 Series,2019,24280,Manual,1947,Petrol,145,41.5,1.5,BMW,21729
 Golf,2017,16790,Manual,32756,Diesel,30,60.1,2.0,VW,32436
 A4,2018,28995,Semi-Auto,11047,Diesel,145,56.5,2.0,Audi,39095
 E Class,2014,12490,Automatic,59000,Diesel,125,57.7,2.1,Mercedes,13306
 C Class,2014,14399,Automatic,73598,Diesel,30,61.4,2.1,Mercedes,44356
 Up,2017,8590,Manual,17382,Petrol,20,64.2,1.0,VW,10099
 CL Class,2017,20490,Semi-Auto,15500,Diesel,20,67.3,2.1,Mercedes,41794
 Passat,2019,21995,Semi-Auto,9000,Petrol,145,41.5,1.5,VW,20825
 A5,2014,14939,Automatic,61346,Diesel,160,49.6,3.0,Audi,8613
 B Class,2020,25487,Semi-Auto,3857,Diesel,145,55.4,2.0,Mercedes,45278
 Tiguan,2019,33999,Semi-Auto,9342,Diesel,145,35.3,2.0,VW,5571
 2 Series,2016,11000,Manual,79060,Diesel,30,64.2,2.0,BMW,34115
 X3,2018,31500,Semi-Auto,35332,Petrol,145,34.5,3.0,BMW,38993
 Golf,2019,12210,Manual,9766,Petrol,150,49.6,1.0,VW,33144
 X5,2019,50990,Semi-Auto,5925,Diesel,145,37.7,3.0,BMW,32733
 B Class,2019,22299,Semi-Auto,13676,Petrol,145,45.6,1.3,Mercedes,11934
 X1,2014,9530,Manual,47262,Diesel,165,51.4,2.0,BMW,43141
 Q3,2016,21995,Semi-Auto,40254,Petrol,205,40.4,2.0,Audi,6609
 Q3,2018,23990,Semi-Auto,23800,Petrol,145,48.7,1.4,Audi,30255
 X1,2016,14499,Manual,27795,Diesel,20,68.9,2.0,BMW,25762
 X1,2016,14991,Manual,21242,Diesel,20,68.9,2.0,BMW,38897
 A Class,2019,24099,Semi-Auto,4297,Petrol,145,53.3,1.3,Mercedes,41194
 GLE Class,2017,27000,Semi-Auto,29054,Diesel,200,47.9,2.1,Mercedes,18496
 GLE Class,2016,26499,Semi-Auto,31830,Diesel,200,47.9,2.1,Mercedes,36723
 A5,2017,25990,Automatic,11479,Diesel,145,62.8,2.0,Audi,3672
 T-Roc,2018,20990,Manual,10582,Petrol,145,53.3,1.5,VW,41060
 A3,2015,6793,Manual,130000,Diesel,0,74.3,1.6,Audi,31009
